Plot,Position,Species,Moisture,RootDryMass(g),Root depth(cm),Length(cm),SurfArea(cm2),AvgDiam(mm),RootVolume(cm3),Tips,Forks,SRL(cm/g),SRA(cm2/g),RTD(g/cm3),SRTA (tips/g),Stem density (g/cm3),Stem dry mass (g),Leaf dry mass (g),Leaf area (cm2),Leaf thick 1 (mm),Leaf thick 2 (mm),Leaf thick 3 (mm),LMA (g/m2),LDMC (%),WDMC (%),RDMC (%)
48,5,SCHMOR,26.49318182,0.0211,4.05,12.0881,2.3116,0.6087,0.035,73,223,572.8957346,109.5545024,0.602857143,3459.71564,0.099256506,0.0267,0.0615,33.263,0.15,0.114,0.148,18.48901181,0.16015625,0.181632653,0.222105263
48,6,TETBAL,26.49318182,0.362,26.6,118.9885,20.0401,0.5361,0.269,232,671,328.6975138,55.35939227,1.345724907,640.8839779,0.333055092,0.399,0.811,142.2145,0.19,0.185,0.189,57.02653386,0.353376906,0.335294118,0.364185111
48,7,UREBAC,26.49318182,0.0098,5.96,17.5673,3.0529,0.5532,0.042,78,162,1792.581633,311.5204082,0.233333333,7959.183673,0.414084507,0.147,0.0149,8.295,0.177,0.14,0.132,17.96262809,0.123140496,0.434911243,0.124050633
48,8,UREBAC,26.49318182,0.0147,4.25,14.4115,2.47,0.5455,0.034,69,147,980.3741497,168.0272109,0.432352941,4693.877551,0.319852941,0.087,0.0056,3.2824,0.171,0.165,0.168,17.0606873,0.119148936,0.364016736,0.154736842
48,9,INGLAU,26.49318182,0.678,15.07,227.5468,39.8626,0.5576,0.556,482,1467,335.6147493,58.79439528,1.21942446,710.9144543,0.465311005,0.389,0.792,130.0153,0.18,0.211,0.21,60.91590759,0.369230769,0.480246914,0.413919414
48,10,GUAGUI,26.49318182,0.1236,11.49,43.4784,12.8775,0.9428,0.304,86,184,351.7669903,104.1868932,0.406578947,695.7928803,0.218345324,0.0607,0.1133,40.2382,0.178,0.153,0.19,28.15732314,0.200886525,0.279723502,0.226373626
48,12,GUAGUI,26.49318182,0.1016,8.87,50.2221,12.6111,0.7993,0.252,90,243,494.3120079,124.125,0.403174603,885.8267717,0.192834891,0.0619,0.0041,3.944,0.15,0.153,0.148,10.39553753,0.083673469,0.3095,0.199607073
48,14,SCHMOR,26.49318182,0.0166,7.51,12.0224,2.7097,0.7174,0.049,27,67,724.2409639,163.2349398,0.33877551,1626.506024,0.126720648,0.0313,0.0553,29.0026,0.14,0.142,0.117,19.06725604,0.161695906,0.171978022,0.215584416
48,15,MANBID,26.49318182,0.0664,7.88,25.6076,5.1623,0.6417,0.083,90,157,385.6566265,77.74548193,0.8,1355.421687,0.245559846,0.1272,0.177,24.5475,0.288,0.308,0.293,72.10510235,0.306759099,0.364469914,0.368888889
48,16,INGLAU,26.49318182,0.934,27.3,165.3289,31.714,0.6106,0.484,421,1137,177.0116702,33.95503212,1.929752066,450.7494647,0.426282051,0.266,0.656,103.8216,0.189,0.198,0.213,63.18531019,0.39304973,0.495344507,0.48119526
